281,康保会乳児保育所,康保会乳児保育所,東京都台東区日本堤2-7-1
282,台東区立玉姫保育園,台東区立玉姫保育園,東京都台東区清川2-22-16
283,清川保育園,清川保育園,東京都台東区清川1-15-11
284,共生保育園,共生保育園,東京都台東区橋場1-10-11
285,台東区立待乳保育園,台東区立待乳保育園,東京都台東区今戸2-26-12
286,台東区立千束保育園,台東区立千束保育園,東京都台東区千束3-20-6
287,チェリッシュ浅草保育園,チェリッシュ浅草保育園,東京都台東区浅草3-11-7 ウィスタリア1~2階
288,花川戸保育園,花川戸保育園,東京都台東区花川戸2-11-13
289,マリー保育園浅草,マリー保育園浅草,東京都台東区西浅草3-19-3
290,台東区立松が谷保育園,台東区立松が谷保育園,東京都台東区松が谷4-15-11
291,えがおの森保育園・あさくさ,えがおの森保育園･あさくさ,東京都台東区寿3-15-12
